sample_id,material_name,material_class_original,chemical_composition_original,architecture_descriptor,composition_type_std,primary_material_family,primary_material_group,secondary_material_family,secondary_material_group,tertiary_material_family,tertiary_material_group,composition_descriptor_std,n_detected_material_families,contains_synthetic_polymer,contains_inorganic,contains_carbonaceous,contains_polysaccharide,contains_protein,contains_fluoropolymer,contains_silica,contains_mof,contains_silver,contains_antimicrobial_additive,contains_support_substrate,is_commercial_reference,source,solid_content (g/100ml),skeletal_density (g/cm3),porosity (%),permeability (m2),bet_surface_area (m2/g),average_pore_size (nm),fiber_diameter (nm),filtration_efficiency (%),pressure_drop (mmH2O/cm),airflow_rate (cm/s),sample_thickness (mm),average_particle_size (nm),quality_factor (mmH2O^-1),bulk_density (g/cm3)
S34,PS membrane,electrospun nanofibrous membrane,polystyrene (PS) on PP nonwoven support,nonwoven_fibrous_filter,synthetic_polymer,ps,synthetic_polymer,polypropylene,synthetic_polymer,,,ps + polypropylene,2,1,0,0,0,0,0,0,0,0,0,1,0,https://doi.org/10.1016/j.seppur.2024.128793,21,,,,,4000,579,86.76,,130,,2500,,
S35,gPCAM40-0.4,electrospun nanofibrous composite membrane,epoxide-modified PS + 0.4 wt% acid-treated carbon aerogel on PP nonwoven support,nonwoven_fibrous_filter,hybrid,ps,synthetic_polymer,carbon_aerogel,carbonaceous,polypropylene,synthetic_polymer,ps + carbon_aerogel + polypropylene,3,1,0,1,0,0,0,0,0,0,0,1,0,https://doi.org/10.1016/j.seppur.2024.128793,21.4,,,,,,,92,,130,,2500,,
S36,gPCAM40-0.8,electrospun nanofibrous composite membrane,epoxide-modified PS + 0.8 wt% acid-treated carbon aerogel on PP nonwoven support,nonwoven_fibrous_filter,hybrid,ps,synthetic_polymer,carbon_aerogel,carbonaceous,polypropylene,synthetic_polymer,ps + carbon_aerogel + polypropylene,3,1,0,1,0,0,0,0,0,0,0,1,0,https://doi.org/10.1016/j.seppur.2024.128793,21.8,,,,,,,94,,130,,2500,,
S37,gPCAM40-1.2,electrospun nanofibrous composite membrane,epoxide-modified PS + 1.2 wt% acid-treated carbon aerogel on PP nonwoven support,nonwoven_fibrous_filter,hybrid,ps,synthetic_polymer,carbon_aerogel,carbonaceous,polypropylene,synthetic_polymer,ps + carbon_aerogel + polypropylene,3,1,0,1,0,0,0,0,0,0,0,1,0,https://doi.org/10.1016/j.seppur.2024.128793,22.2,,,,,6200,634,95.3,,130,,2500,,
S38,gPCAM40-1.6,electrospun nanofibrous composite membrane,epoxide-modified PS + 1.6 wt% acid-treated carbon aerogel on PP nonwoven support,nonwoven_fibrous_filter,hybrid,ps,synthetic_polymer,carbon_aerogel,carbonaceous,polypropylene,synthetic_polymer,ps + carbon_aerogel + polypropylene,3,1,0,1,0,0,0,0,0,0,0,1,0,https://doi.org/10.1016/j.seppur.2024.128793,22.6,,,,,,798,93,,130,,2500,,
S39,gPCAM20-1.2,electrospun nanofibrous composite membrane,epoxide-modified PS + 1.2 wt% acid-treated carbon aerogel on PP nonwoven support,nonwoven_fibrous_filter,hybrid,ps,synthetic_polymer,carbon_aerogel,carbonaceous,polypropylene,synthetic_polymer,ps + carbon_aerogel + polypropylene,3,1,0,1,0,0,0,0,0,0,0,1,0,https://doi.org/10.1016/j.seppur.2024.128793,22.2,,,,,,,86.2,,130,,2500,,
S40,gPCAM60-1.2,electrospun nanofibrous composite membrane,epoxide-modified PS + 1.2 wt% acid-treated carbon aerogel on PP nonwoven support,nonwoven_fibrous_filter,hybrid,ps,synthetic_polymer,carbon_aerogel,carbonaceous,polypropylene,synthetic_polymer,ps + carbon_aerogel + polypropylene,3,1,0,1,0,0,0,0,0,0,0,1,0,https://doi.org/10.1016/j.seppur.2024.128793,22.2,,,,,,,98,,130,,2500,,
S41,CA,cellulose aerogel filter,cellulose aerogel from cotton linter,monolithic_aerogel,bio_based,cellulose,polysaccharide_or_lignocellulosic,,,,,cellulose,1,0,0,0,1,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.seppur.2024.129741,0.3,,,,17,2000,,48.6,12.92,200,3,2500,0.171705886,
S42,CA,cellulose aerogel filter,cellulose aerogel from cotton linter,monolithic_aerogel,bio_based,cellulose,polysaccharide_or_lignocellulosic,,,,,cellulose,1,0,0,0,1,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.seppur.2024.129741,0.3,,,,17,2000,,60.1,12.92,200,3,10000,0.23704692,
S43,ZCA,MOF-coated cellulose aerogel filter,cellulose aerogel + ZIF-8 (~24.5 wt% loading),monolithic_aerogel,hybrid,cellulose,polysaccharide_or_lignocellulosic,mof_zif8,inorganic_or_mineral,,,cellulose + mof_zif8,2,0,1,0,1,0,0,0,1,0,0,0,0,https://doi.org/10.1016/j.seppur.2024.129741,0.3,,,,263,,,80,16.09,200,3,2500,0.333424055,
S44,ZCA,MOF-coated cellulose aerogel filter,cellulose aerogel + ZIF-8 (~24.5 wt% loading),monolithic_aerogel,hybrid,cellulose,polysaccharide_or_lignocellulosic,mof_zif8,inorganic_or_mineral,,,cellulose + mof_zif8,2,0,1,0,1,0,0,0,1,0,0,0,0,https://doi.org/10.1016/j.seppur.2024.129741,0.3,,,,263,,,85,15.73,200,3,10000,0.402017373,
S45,NZCA,amino-functionalized MOF-coated cellulose aerogel filter,cellulose aerogel + ZIF-8-NH2 (~24.8 wt% loading),monolithic_aerogel,hybrid,cellulose,polysaccharide_or_lignocellulosic,mof_zif8,inorganic_or_mineral,,,cellulose + mof_zif8,2,0,1,0,1,0,0,0,1,0,0,0,0,https://doi.org/10.1016/j.seppur.2024.129741,0.3,,,,147,,,92,15.9,200,3,2500,0.52950286,
S46,NZCA,amino-functionalized MOF-coated cellulose aerogel filter,cellulose aerogel + ZIF-8-NH2 (~24.8 wt% loading),monolithic_aerogel,hybrid,cellulose,polysaccharide_or_lignocellulosic,mof_zif8,inorganic_or_mineral,,,cellulose + mof_zif8,2,0,1,0,1,0,0,0,1,0,0,0,0,https://doi.org/10.1016/j.seppur.2024.129741,0.3,,,,147,,,96,16.09,200,3,10000,0.66684811,
S47,CMP-1,conjugated microporous polymer aerogel,"CMP from 1,3,5-triethynylbenzene + 1,3-dibromobenzene",monolithic_aerogel,carbonaceous,cmp,carbonaceous,,,,,cmp,1,0,0,1,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.seppur.2024.128965,,,,,280.42,2,150,99.4,85.93,0.54,1.78,2500,0.334476312,
S48,CMP-1,conjugated microporous polymer aerogel,"CMP from 1,3,5-triethynylbenzene + 1,3-dibromobenzene",monolithic_aerogel,carbonaceous,cmp,carbonaceous,,,,,cmp,1,0,0,1,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.seppur.2024.128965,,,,,280.42,2,150,99.7,85.93,0.54,1.78,10000,0.379793259,
S49,CMP-2,conjugated microporous polymer aerogel,"CMP from 1,3,5-triethynylbenzene + 1,3,5-tribromobenzene",monolithic_aerogel,carbonaceous,cmp,carbonaceous,,,,,cmp,1,0,0,1,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.seppur.2024.128965,,,,,660.61,2,450,99,33.07,0.54,1.85,2500,0.752730929,
S50,CMP-2,conjugated microporous polymer aerogel,"CMP from 1,3,5-triethynylbenzene + 1,3,5-tribromobenzene",monolithic_aerogel,carbonaceous,cmp,carbonaceous,,,,,cmp,1,0,0,1,0,0,0,0,0,0,0,0,0,https://doi.org/10.1016/j.seppur.2024.128965,,,,,660.61,2,450,99,33.07,0.54,1.85,10000,0.752730929,
S51,CMP-1-AgS,post-modified antibacterial CMP aerogel,thiol-yne modified CMP-1 with Ag uptake,monolithic_aerogel,hybrid,cmp,carbonaceous,silver,inorganic_or_mineral,,,cmp + silver,2,0,1,1,0,0,0,0,0,1,1,0,0,https://doi.org/10.1016/j.seppur.2024.128965,,,,,29.92,2000,,99.5,108.85,1.08,1.78,2500,0.273457307,
S52,CMP-1-AgS,post-modified antibacterial CMP aerogel,thiol-yne modified CMP-1 with Ag uptake,monolithic_aerogel,hybrid,cmp,carbonaceous,silver,inorganic_or_mineral,,,cmp + silver,2,0,1,1,0,0,0,0,0,1,1,0,0,https://doi.org/10.1016/j.seppur.2024.128965,,,,,29.92,2000,,99.8,108.85,1.08,1.78,10000,0.320749,
S53,CMP-2-AgS,post-modified antibacterial CMP aerogel,thiol-yne modified CMP-2 with Ag uptake,monolithic_aerogel,hybrid,cmp,carbonaceous,silver,inorganic_or_mineral,,,cmp + silver,2,0,1,1,0,0,0,0,0,1,1,0,0,https://doi.org/10.1016/j.seppur.2024.128965,,,,,12.14,2000,,99.2,55.12,1.08,1.85,2500,0.473494071,
S54,CMP-2-AgS,post-modified antibacterial CMP aerogel,thiol-yne modified CMP-2 with Ag uptake,monolithic_aerogel,hybrid,cmp,carbonaceous,silver,inorganic_or_mineral,,,cmp + silver,2,0,1,1,0,0,0,0,0,1,1,0,0,https://doi.org/10.1016/j.seppur.2024.128965,,,,,12.14,2000,,99.9,55.12,1.08,1.85,10000,0.677416867,
S55,NSA-0.5%,natural silk nanofibril aerogel,natural silk nanofibrils + 0.5 wt% PVA,fibrous_aerogel,hybrid,silk,protein_based,pva,synthetic_polymer,,,silk + pva,2,1,0,0,0,1,0,0,0,0,0,0,0,https://doi.org/10.1021/acsnano.1c00346,,,,,124.1,200000,70,36.5,2.86,5.33,5,300,0.317573622,0.0025
S56,NSA-0.5%,natural silk nanofibril aerogel,natural silk nanofibrils + 0.5 wt% PVA,fibrous_aerogel,hybrid,silk,protein_based,pva,synthetic_polymer,,,silk + pva,2,1,0,0,0,1,0,0,0,0,0,0,0,https://doi.org/10.1021/acsnano.1c00346,,,,,124.1,200000,70,35,2.65,5.33,5,300,0.325119182,0.0025
S57,NSA-0.5%,natural silk nanofibril aerogel,natural silk nanofibrils + 0.5 wt% PVA,fibrous_aerogel,hybrid,silk,protein_based,pva,synthetic_polymer,,,silk + pva,2,1,0,0,0,1,0,0,0,0,0,0,0,https://doi.org/10.1021/acsnano.1c00346,,,,,124.1,200000,70,30.5,7.75,14.17,5,300,0.09389508,0.0025
S58,NSA-0.5%,natural silk nanofibril aerogel,natural silk nanofibrils + 0.5 wt% PVA,fibrous_aerogel,hybrid,silk,protein_based,pva,synthetic_polymer,,,silk + pva,2,1,0,0,0,1,0,0,0,0,0,0,0,https://doi.org/10.1021/acsnano.1c00346,,,,,124.1,200000,70,28.5,7.14,14.17,5,300,0.093969954,0.0025
